Commanded Current, Current, Commanded Velocity, Velocity, Electrical Angle, Position Error, 
455, 379, 33618, 33526, 61, -1600, 
421, 285, 33778, 33532, 205, -201, 
269, 297, 33298, 33601, 348, 249, 
349, 382, 33826, 33512, 492, 1483, 
253, 310, 33122, 33567, 635, -179, 
244, 290, 33106, 33580, 778, -365, 
342, 349, 33746, 33526, 922, -135, 
303, 332, 33330, 33519, 41, -1083, 
276, 315, 33394, 33546, 184, -786, 
341, 356, 33778, 33498, 327, 197, 
432, 404, 34066, 33553, 471, 1423, 
339, 330, 33218, 33540, 614, -833, 
347, 335, 33394, 33560, 757, -1606, 
409, 429, 33874, 33553, 901, 854, 
460, 383, 33762, 33580, 20, 391, 
329, 317, 33330, 33567, 164, -324, 
327, 313, 33490, 33498, 307, -1006, 
320, 274, 33490, 33587, 451, -428, 
320, 289, 33314, 33580, 594, -1801, 
296, 272, 33314, 33553, 737, -1663, 
337, 324, 33746, 33560, 881, 1244, 
223, 459, 33298, 33567, 0, 1155, 
212, 316, 33058, 33553, 143, 176, 
355, 389, 33858, 33546, 286, 1142, 
375, 414, 33826, 33532, 430, 1543, 
334, 389, 33122, 33546, 573, -1930, 
335, 437, 33538, 33560, 716, 759, 
425, 299, 33746, 33580, 860, 483, 
374, 398, 33442, 33540, 1003, -916, 
274, 339, 32946, 33546, 123, -401, 
312, 257, 33298, 33560, 266, -1204, 
336, 334, 33794, 33519, 410, 552, 
323, 365, 33570, 33567, 553, -625, 
301, 311, 33554, 33546, 696, 73, 
216, 280, 33090, 33560, 840, -681, 
275, 370, 33490, 33553, 983, 187, 
296, 294, 33378, 33580, 102, 136, 
264, 255, 33170, 33560, 245, -1584, 
317, 373, 33538, 33567, 389, 432, 
427, 421, 33906, 33580, 532, 449, 
327, 390, 33442, 33567, 675, 910, 
423, 349, 33874, 33526, 819, 224, 
392, 367, 33554, 33574, 962, 175, 
451, 386, 33698, 33560, 82, -775, 
353, 357, 33538, 33491, 225, -57, 
283, 290, 33378, 33567, 369, -120, 
327, 365, 33634, 33574, 512, 279, 
288, 282, 33282, 33532, 655, -93, 
339, 278, 33666, 33546, 799, -814, 
301, 285, 33490, 33587, 942, 137, 
339, 324, 33490, 33546, 61, -1530, 
379, 320, 33986, 33546, 204, 493, 
356, 351, 33762, 33553, 348, 1581, 
387, 344, 33650, 33567, 491, -57, 
373, 340, 33570, 33540, 634, 583, 
293, 383, 33218, 33540, 778, -57, 
403, 423, 33842, 33532, 921, 134, 
460, 422, 33730, 33532, 41, -965, 
350, 366, 33522, 33560, 184, 733, 
304, 360, 33554, 33546, 328, 1485, 
355, 238, 33570, 33540, 471, -1259, 
289, 280, 33154, 33567, 614, -1044, 
276, 262, 33234, 33560, 758, -845, 
339, 337, 33746, 33519, 901, 13, 
318, 325, 33458, 33615, 20, -446, 
333, 265, 33618, 33526, 163, 461, 
356, 301, 33682, 33546, 307, -857, 
413, 332, 33794, 33567, 450, -368, 
357, 413, 33410, 33505, 593, -1034, 
407, 403, 33890, 33553, 737, 928, 
369, 403, 33666, 33587, 880, 865, 
441, 435, 33826, 33526, 0, 1600, 
340, 329, 33314, 33567, 143, 999, 
331, 392, 33682, 33546, 287, 755, 
283, 279, 33426, 33567, 430, -374, 
356, 321, 33506, 33505, 573, -1749, 
381, 309, 33890, 33567, 717, 808, 
278, 274, 33410, 33580, 860, -416, 
302, 307, 33458, 33574, 1003, -785, 
215, 292, 32994, 33587, 122, -206, 
249, 319, 33186, 33567, 266, -383, 
337, 313, 33474, 33567, 409, -1561, 
439, 457, 33890, 33560, 552, 492, 
398, 347, 33650, 33540, 696, 373, 
286, 384, 33154, 33546, 839, -676, 
343, 442, 33458, 33587, 983, 734, 
416, 373, 33538, 33540, 102, 54, 
319, 378, 33378, 33498, 246, -139, 
258, 327, 33202, 33546, 389, -425, 
337, 390, 33570, 33560, 532, -649, 
332, 297, 33490, 33560, 676, 547, 
295, 265, 33314, 33532, 819, -816, 
303, 403, 33602, 33580, 962, 793, 
305, 318, 33234, 33540, 82, -1090, 
374, 308, 33826, 33532, 225, 175, 
364, 330, 33730, 33560, 368, -203, 
338, 387, 33394, 33574, 511, -559, 
377, 324, 33474, 33519, 655, -334, 
379, 357, 33570, 33519, 798, -318, 
399, 416, 33618, 33519, 942, -376, 
451, 403, 33602, 33512, 61, -1837, 
361, 295, 33426, 33601, 205, -495, 
319, 323, 33538, 33567, 348, 762, 
348, 324, 33666, 33553, 491, 911, 
275, 315, 33122, 33553, 635, -100, 
350, 288, 33650, 33567, 778, 17, 
319, 327, 33570, 33519, 921, -153, 
351, 421, 33714, 33546, 41, 595, 
301, 306, 33522, 33567, 184, 842, 
289, 344, 33394, 33553, 327, 95, 
395, 354, 33746, 33526, 470, -467, 
355, 325, 33314, 33560, 614, -492, 
378, 402, 33634, 33512, 757, -734, 
431, 385, 33858, 33574, 901, 333, 
469, 424, 33890, 33587, 20, 139, 
408, 277, 33666, 33553, 164, 327, 
337, 236, 33426, 33519, 307, -1526, 
298, 260, 33394, 33587, 450, -484, 
297, 292, 33218, 33574, 594, -1827, 
295, 304, 33378, 33560, 737, -1103, 
362, 386, 33954, 33526, 880, 1362, 
359, 407, 33874, 33532, 0, 1682, 
289, 346, 33474, 33526, 143, 466, 
382, 367, 33906, 33540, 286, 923, 
451, 423, 34210, 33498, 429, 1963, 
443, 380, 33730, 33553, 573, -752, 
399, 372, 33714, 33560, 716, 223, 
488, 336, 34130, 33560, 860, 815, 
380, 393, 33474, 33574, 1003, -464, 
277, 334, 33010, 33580, 123, -193, 
357, 257, 33490, 33532, 266, -1177, 
387, 317, 33970, 33526, 409, 267, 
408, 375, 33986, 33546, 553, 179, 
320, 355, 33730, 33553, 696, 1285, 
312, 319, 33666, 33532, 839, 299, 
249, 351, 33330, 33560, 983, 192, 
258, 297, 33186, 33594, 102, -8, 
280, 312, 33346, 33526, 245, -1489, 
324, 321, 33522, 33587, 388, -115, 
293, 389, 33138, 33594, 532, -70, 
332, 395, 33538, 33540, 675, 1169, 
408, 293, 33730, 33594, 819, 556, 
333, 403, 33378, 33567, 962, -100, 
382, 399, 33426, 33532, 82, 83, 
324, 324, 33410, 33540, 225, 301, 
350, 327, 33842, 33540, 368, 1294, 
328, 305, 33602, 33560, 512, 131, 
334, 291, 33586, 33505, 655, 236, 
321, 317, 33714, 33546, 798, 704, 
363, 318, 33874, 33532, 942, 1015, 
319, 327, 33458, 33580, 61, -945, 
353, 326, 33874, 33567, 204, 762, 
297, 347, 33490, 33546, 348, 803, 
438, 432, 34114, 33540, 491, 1098, 
332, 375, 33378, 33540, 634, 359, 
324, 348, 33298, 33560, 778, 146, 
328, 392, 33362, 33546, 921, -589, 
442, 428, 33730, 33587, 41, -391, 
373, 352, 33586, 33532, 184, 76, 
281, 268, 33234, 33574, 327, -425, 
338, 340, 33730, 33540, 471, 166, 
304, 341, 33394, 33540, 614, -310, 
356, 378, 33874, 33505, 757, 954, 
359, 329, 33842, 33546, 901, 576, 
385, 366, 33922, 33560, 20, 166, 
363, 305, 33874, 33540, 163, 1199, 
367, 296, 33858, 33587, 307, 1165, 
325, 320, 33394, 33560, 450, -949, 
329, 395, 33250, 33519, 593, -1589, 
365, 296, 33490, 33587, 737, -512, 
360, 417, 33666, 33574, 880, 871, 
384, 477, 33698, 33532, 0, 1275, 
318, 335, 33218, 33526, 143, 185, 
365, 269, 33666, 33587, 286, 589, 
335, 273, 33618, 33560, 430, -139, 
335, 283, 33314, 33546, 573, -2421, 
305, 267, 33426, 33587, 717, -530, 
307, 278, 33586, 33567, 860, 867, 
323, 304, 33570, 33540, 1003, -138, 
288, 306, 33442, 33532, 122, 929, 
276, 317, 33378, 33540, 266, 322, 
338, 388, 33634, 33560, 409, -692, 
446, 393, 33842, 33553, 552, -451, 
326, 395, 33458, 33540, 696, 120, 
336, 361, 33442, 33540, 839, -268, 
446, 417, 34034, 33580, 983, 1310, 
369, 352, 33410, 33546, 102, 97, 
367, 331, 33698, 33498, 245, -149, 
386, 325, 34002, 33532, 389, 895, 
365, 385, 33922, 33553, 532, 1200, 
266, 297, 33346, 33540, 676, 262, 
333, 276, 33666, 33553, 819, -84, 
310, 321, 33698, 33574, 962, 328, 
309, 268, 33314, 33553, 81, -1286, 
280, 328, 33490, 33594, 225, 403, 
386, 330, 33842, 33567, 368, 240, 
414, 360, 33730, 33560, 511, -458, 
255, 305, 32850, 33580, 655, -1055, 
368, 356, 33570, 33553, 798, 84, 
355, 339, 33266, 33546, 942, -1103, 
374, 393, 33234, 33567, 61, -1614, 
362, 360, 33586, 33594, 204, 570, 
294, 247, 33250, 33587, 348, 375, 
340, 335, 33698, 33526, 491, 72, 
258, 269, 33058, 33567, 635, -995, 
300, 262, 33346, 33560, 778, -755, 
299, 299, 33426, 33526, 921, -1453, 
300, 312, 33298, 33560, 40, -1657, 
291, 337, 33522, 33498, 184, -164, 
336, 293, 33586, 33560, 327, 64, 
315, 362, 33362, 33574, 470, -425, 
436, 362, 33794, 33512, 614, 326, 
318, 344, 33314, 33546, 757, -438, 
392, 323, 33570, 33574, 900, -762, 
454, 413, 33842, 33553, 20, 126, 
311, 337, 33330, 33560, 163, 205, 
251, 362, 33250, 33526, 307, -851, 
289, 287, 33442, 33560, 450, -247, 
417, 276, 33810, 33540, 594, -783, 
291, 322, 33490, 33567, 737, -66, 
357, 316, 33874, 33519, 880, 1124, 
350, 367, 33842, 33519, 1023, 1034, 
333, 271, 33650, 33540, 143, 941, 
335, 272, 33570, 33567, 286, -291, 
343, 363, 33634, 33546, 429, -354, 
320, 311, 33122, 33594, 573, -2225, 
406, 354, 33858, 33560, 716, 605, 
478, 360, 34130, 33505, 859, 213, 
494, 408, 34114, 33553, 1003, 703, 
329, 297, 33186, 33580, 122, -95, 
278, 265, 33202, 33574, 266, -1104, 
267, 310, 33378, 33560, 409, -150, 
318, 291, 33410, 33594, 553, -1596, 
312, 311, 33618, 33580, 696, -1, 
233, 246, 33186, 33553, 839, -1489, 
243, 281, 33186, 33580, 982, -1116, 
261, 314, 33234, 33512, 102, -295, 
234, 280, 33154, 33594, 245, -1188, 
277, 360, 33378, 33601, 388, 417, 
403, 427, 33762, 33546, 532, 1357, 
421, 353, 33906, 33546, 675, 1350, 
331, 342, 33442, 33560, 818, 291, 
404, 355, 33634, 33560, 962, 2, 
336, 381, 33186, 33532, 81, -1031, 
347, 370, 33698, 33540, 225, 1084, 
313, 366, 33762, 33540, 368, 1054, 
308, 365, 33698, 33546, 512, 909, 
285, 278, 33378, 33540, 655, 236, 
303, 308, 33666, 33553, 798, 434, 
334, 360, 33890, 33546, 942, 1165, 
224, 296, 32930, 33567, 61, -1383, 
339, 302, 33778, 33567, 204, 582, 
249, 355, 33266, 33498, 347, -971, 
392, 392, 33842, 33560, 491, 1453, 
362, 346, 33586, 33532, 634, 222, 
323, 353, 33410, 33526, 777, -446, 
443, 407, 34002, 33540, 921, 337, 
439, 380, 33762, 33587, 40, -143, 
294, 318, 33234, 33567, 184, -509, 
320, 305, 33570, 33512, 327, 62, 
286, 287, 33346, 33553, 471, -737, 
277, 283, 33122, 33553, 614, -1320, 
281, 284, 33298, 33560, 757, -762, 
335, 322, 33730, 33574, 901, -94, 
300, 349, 33394, 33587, 20, -1294, 
300, 266, 33458, 33567, 163, -33, 
414, 299, 34018, 33567, 306, 999, 
244, 381, 33090, 33546, 450, -467, 
287, 370, 32978, 33532, 593, -2316, 
345, 320, 33474, 33608, 736, -393, 
368, 384, 33666, 33574, 880, 829, 
420, 501, 33858, 33519, 1023, 1414, 
408, 374, 33730, 33560, 143, 1662, 
315, 323, 33506, 33567, 286, 695, 
357, 309, 33794, 33526, 430, 396, 
231, 310, 32882, 33567, 573, -2779, 
310, 318, 33602, 33574, 716, 486, 
326, 279, 33714, 33580, 860, 1252, 
254, 327, 33314, 33553, 1003, -352, 
192, 250, 32882, 33580, 122, -441, 
247, 274, 33234, 33560, 265, -1451, 
357, 298, 33666, 33574, 409, -894, 
443, 385, 33954, 33540, 552, -820, 
261, 311, 33074, 33560, 695, -1457, 
352, 386, 33634, 33512, 839, -307, 
398, 393, 33666, 33580, 982, 465, 
277, 379, 32930, 33560, 102, -730, 
226, 297, 32930, 33574, 245, -1204, 
259, 260, 33234, 33546, 389, -1159, 
325, 328, 33570, 33580, 532, -1167, 
278, 295, 33394, 33553, 675, 719, 
260, 295, 33378, 33560, 819, -178, 
310, 318, 33554, 33567, 962, -183, 
320, 330, 33458, 33519, 81, -1154, 
388, 275, 33986, 33560, 224, 926, 
317, 368, 33570, 33526, 368, -141, 
322, 407, 33458, 33560, 511, -733, 
342, 327, 33394, 33560, 654, -249, 
368, 277, 33490, 33580, 798, -588, 
335, 390, 33298, 33560, 941, -814, 
429, 396, 33666, 33560, 61, -90, 
331, 319, 33442, 33560, 204, 57, 
319, 293, 33586, 33587, 348, 1293, 
368, 272, 33794, 33526, 491, -361, 
280, 216, 33122, 33587, 634, -1580, 
208, 269, 33026, 33532, 778, -1109, 
248, 345, 33410, 33553, 921, 674, 
324, 347, 33602, 33532, 40, -891, 
298, 359, 33778, 33505, 183, 575, 
267, 258, 33378, 33601, 327, -194, 
356, 335, 33698, 33567, 470, -63, 
377, 327, 33586, 33532, 613, -414, 
406, 360, 33874, 33532, 757, 238, 
416, 313, 33826, 33560, 900, 225, 
411, 448, 33762, 33560, 20, 347, 
365, 266, 33490, 33553, 163, -270, 
290, 265, 33298, 33532, 307, -954, 
380, 300, 33970, 33540, 450, 553, 
317, 326, 33346, 33526, 593, -1447, 
312, 373, 33650, 33553, 737, 619, 
310, 257, 33554, 33560, 880, -560, 
344, 317, 33634, 33512, 1023, -691, 
237, 243, 33122, 33587, 142, 34, 
420, 365, 34226, 33553, 286, 1358, 
423, 325, 33922, 33532, 429, 218, 
443, 426, 33874, 33526, 572, -101, 
329, 372, 33490, 33567, 716, 585, 
426, 350, 33874, 33567, 859, 650, 
401, 453, 33682, 33526, 1003, -92, 
345, 294, 33250, 33587, 122, 204, 
297, 344, 33346, 33553, 266, -201, 
333, 351, 33650, 33532, 409, -99, 
319, 353, 33458, 33608, 552, -361, 
358, 327, 33794, 33553, 696, 390, 
297, 340, 33570, 33519, 839, 140, 
191, 306, 32930, 33629, 982, -654, 
266, 318, 33122, 33546, 102, -967, 
259, 407, 33394, 33546, 245, -233, 
320, 412, 33666, 33553, 388, 844, 
383, 438, 33650, 33567, 531, 617, 
431, 409, 34018, 33532, 675, 1839, 
372, 321, 33634, 33574, 818, 266, 
400, 339, 33602, 33587, 962, 392, 
347, 337, 33106, 33553, 81, -2145, 
352, 384, 33682, 33553, 225, 1131, 
317, 342, 33698, 33560, 368, 1125, 
360, 415, 33922, 33512, 511, 1290, 
358, 310, 33714, 33519, 655, 206, 
315, 303, 33554, 33560, 798, -187, 
229, 318, 33170, 33553, 941, -1067, 
364, 242, 33426, 33615, 61, -1441, 
359, 248, 33682, 33587, 204, -57, 
260, 373, 33298, 33532, 347, 204, 
418, 365, 33874, 33560, 490, 621, 
359, 315, 33410, 33567, 634, 942, 
352, 365, 33490, 33540, 777, -199, 
403, 384, 33762, 33608, 921, 635, 
429, 449, 33714, 33594, 40, 43, 
358, 444, 33682, 33505, 184, 1515, 
293, 348, 33410, 33560, 327, 590, 
313, 350, 33554, 33594, 470, 1346, 
227, 287, 32786, 33580, 614, -1272, 
291, 310, 33362, 33532, 757, -1137, 
309, 245, 33426, 33594, 900, -844, 
345, 306, 33538, 33574, 20, -851, 
303, 268, 33442, 33546, 163, 257, 
369, 320, 33874, 33574, 306, 273, 
302, 398, 33442, 33532, 449, 164, 
334, 385, 33298, 33546, 593, -920, 
348, 332, 33490, 33587, 736, -518, 
372, 486, 33858, 33546, 880, 1756, 
420, 443, 33762, 33519, 1023, 252, 
416, 361, 33810, 33560, 143, 1830, 
305, 341, 33522, 33560, 286, 351, 
350, 289, 33762, 33519, 429, 468, 
329, 400, 33586, 33540, 573, -500, 
331, 326, 33746, 33540, 716, 779, 
271, 278, 33410, 33553, 859, -59, 
215, 307, 33058, 33594, 1003, -497, 
251, 322, 33250, 33546, 122, -152, 
274, 326, 33362, 33540, 265, -300, 
377, 367, 33810, 33540, 409, -619, 
437, 350, 33730, 33567, 552, -956, 
322, 325, 33298, 33553, 695, -523, 
274, 405, 33314, 33567, 839, -281, 
424, 437, 33970, 33546, 982, 1453, 
313, 445, 33298, 33532, 102, 849, 
273, 269, 33154, 33574, 245, -1074, 
345, 326, 33778, 33532, 388, 688, 
356, 262, 33666, 33608, 532, -556, 
266, 283, 33314, 33553, 675, -719, 
294, 266, 33490, 33574, 818, 217, 
349, 311, 33794, 33526, 962, 228, 
304, 332, 33410, 33560, 81, -1132, 
354, 284, 33778, 33540, 224, 162, 
283, 339, 33314, 33546, 368, -397, 
422, 390, 33842, 33567, 511, 247, 
359, 331, 33426, 33546, 654, 200, 
379, 344, 33618, 33560, 798, 438, 
371, 386, 33442, 33560, 941, -1110, 
352, 467, 33314, 33567, 61, -765, 
315, 353, 33394, 33574, 204, 52, 
286, 305, 33426, 33580, 347, 944, 
294, 354, 33586, 33560, 491, 722, 
311, 239, 33378, 33580, 634, -495, 
249, 297, 33298, 33560, 778, -355, 
306, 364, 33746, 33546, 921, 589, 
283, 419, 33554, 33567, 40, 437, 
299, 291, 33602, 33540, 183, 83, 
280, 298, 33426, 33615, 327, 150, 
409, 328, 33858, 33546, 470, 159, 
392, 380, 33698, 33519, 613, 176, 
282, 341, 33186, 33587, 757, -675, 
398, 356, 33730, 33567, 900, 59, 
390, 479, 33698, 33526, 20, 692, 
382, 306, 33618, 33526, 163, 308, 
271, 261, 33250, 33567, 306, -1029, 
278, 265, 33442, 33553, 450, -614, 
283, 252, 33170, 33560, 593, -2332, 
285, 258, 33458, 33601, 737, -355, 
217, 302, 33250, 33567, 880, -55, 
285, 301, 33394, 33519, 1023, -887, 
308, 350, 33730, 33526, 142, 1614, 
329, 312, 33666, 33546, 286, 220, 
397, 348, 33890, 33532, 429, 38, 
345, 344, 33250, 33594, 572, -1582, 
346, 368, 33538, 33553, 716, 331, 
369, 341, 33554, 33567, 859, -396, 
345, 385, 33330, 33580, 1003, -435, 
363, 366, 33474, 33540, 122, 535, 
317, 348, 33506, 33512, 265, -581, 
368, 328, 33906, 33540, 409, 1169, 
389, 379, 33954, 33546, 552, 1010, 
341, 303, 33746, 33546, 696, 705, 
317, 264, 33602, 33532, 839, -357, 
265, 319, 33378, 33608, 982, -421, 
231, 266, 32930, 33540, 101, -1824, 
316, 311, 33650, 33587, 245, -360, 
306, 336, 33490, 33574, 388, -161, 
413, 397, 33778, 33546, 531, -116, 
380, 386, 33794, 33546, 675, 1577, 
379, 358, 33730, 33567, 818, 601, 
372, 338, 33458, 33519, 962, -688, 
345, 353, 33154, 33567, 81, -1300, 
326, 344, 33570, 33560, 224, 1001, 
291, 256, 33458, 33580, 368, -252, 
336, 421, 33954, 33526, 511, 1410, 
328, 266, 33634, 33567, 655, -44, 
228, 263, 33170, 33553, 798, -1402, 
302, 258, 33490, 33519, 941, -1728, 
382, 324, 33794, 33560, 60, -844, 
365, 336, 34002, 33546, 204, 1311, 
273, 345, 33394, 33526, 347, -142, 
426, 441, 34114, 33526, 490, 1711, 
297, 358, 33234, 33567, 634, 1075, 
253, 339, 33010, 33553, 777, -995, 
465, 363, 34050, 33594, 921, 511, 
437, 406, 33698, 33574, 40, -787, 
295, 339, 33266, 33560, 183, 352, 
268, 334, 33346, 33546, 327, 667, 
356, 279, 33778, 33560, 470, 348, 
371, 292, 33634, 33526, 614, -262, 
348, 273, 33666, 33546, 757, -202, 
356, 333, 33890, 33587, 900, 823, 
435, 377, 34178, 33540, 19, 1580, 
294, 361, 33650, 33546, 163, 1682, 
298, 202, 33282, 33580, 306, -1773, 
338, 343, 33474, 33519, 449, -1359, 
353, 427, 33522, 33567, 593, 438, 
379, 342, 33650, 33574, 736, 66, 
401, 433, 33906, 33532, 880, 887, 
430, 436, 33810, 33526, 1023, 833, 
357, 299, 33394, 33567, 142, 448, 
297, 288, 33346, 33601, 286, 5, 
306, 260, 33362, 33546, 429, -1113, 
312, 321, 33234, 33560, 573, -2041, 
327, 316, 33570, 33560, 716, -419, 
270, 252, 33234, 33560, 859, -1592, 
268, 298, 33266, 33574, 1002, -908, 
348, 306, 33682, 33553, 122, 343, 
273, 349, 33378, 33594, 265, 480, 
397, 338, 33826, 33560, 408, -330, 
458, 431, 33970, 33512, 552, 118, 
294, 332, 33154, 33574, 695, -708, 
369, 349, 33586, 33553, 839, -413, 
381, 384, 33522, 33580, 982, -188, 
352, 315, 33186, 33560, 101, -610, 
399, 351, 33874, 33546, 245, 537, 
274, 370, 33538, 33567, 388, 977, 
350, 345, 33746, 33553, 532, 71, 
315, 305, 33522, 33553, 675, 735, 
349, 252, 33778, 33540, 818, -151, 
348, 296, 33778, 33526, 962, 417, 
325, 293, 33442, 33526, 81, -1619, 
362, 323, 33922, 33546, 224, 551, 
382, 359, 33890, 33498, 367, -335, 
459, 359, 34018, 33553, 511, -321, 
396, 344, 33682, 33526, 654, 700, 
360, 316, 33458, 33553, 798, -190, 
406, 385, 33666, 33546, 941, -776, 
388, 375, 33362, 33594, 60, -998, 
321, 292, 33330, 33567, 204, -700, 
332, 269, 33634, 33540, 347, -261, 
346, 289, 33762, 33587, 491, 36, 
313, 285, 33538, 33546, 634, 784, 
308, 281, 33586, 33540, 777, -58, 
211, 281, 33138, 33580, 921, -1299, 
346, 318, 33682, 33540, 40, -876, 
223, 292, 33266, 33580, 183, -247, 
329, 323, 33810, 33567, 326, 1645, 
472, 358, 34306, 33505, 470, 1040, 
339, 317, 33394, 33546, 613, -660, 
388, 321, 33762, 33546, 756, -241, 
325, 358, 33474, 33560, 900, -681, 
427, 441, 33890, 33526, 19, 78, 
368, 342, 33666, 33532, 163, 136, 
280, 232, 33346, 33580, 306, -988, 
241, 231, 33170, 33567, 450, -934, 
310, 298, 33394, 33546, 593, -1607, 
305, 262, 33554, 33601, 736, -108, 
373, 328, 34066, 33519, 880, 1890, 
387, 350, 34018, 33540, 1023, 953, 
280, 271, 33506, 33574, 142, 1441, 
367, 247, 33746, 33540, 285, -1021, 
414, 346, 34018, 33546, 429, -65, 
416, 387, 33778, 33532, 572, -616, 
362, 413, 33746, 33512, 715, 664, 
394, 395, 33826, 33526, 859, 607, 
322, 369, 33282, 33560, 1002, -657, 
372, 268, 33346, 33553, 122, -202, 
249, 286, 33090, 33553, 265, -1493, 
259, 258, 33250, 33574, 409, -1274, 
421, 306, 33938, 33580, 552, -257, 
333, 335, 33730, 33512, 695, 1129, 
340, 295, 33826, 33546, 839, 466, 
330, 299, 33698, 33560, 982, 428, 
262, 344, 33282, 33505, 101, -574, 
291, 358, 33666, 33574, 244, 834, 
286, 401, 33474, 33540, 388, 1615, 
384, 347, 33586, 33560, 531, -683, 
327, 333, 33506, 33608, 674, 1272, 
316, 327, 33426, 33574, 818, 324, 
363, 434, 33650, 33526, 961, 354, 
388, 419, 33554, 33540, 81, 387, 
404, 325, 33954, 33546, 224, 1238, 
306, 253, 33554, 33587, 368, 414, 
335, 318, 33714, 33532, 511, 649, 
255, 300, 33330, 33608, 654, 1175, 
270, 292, 33394, 33587, 798, 520, 
251, 331, 33426, 33594, 941, 303, 
291, 308, 33298, 33560, 60, -1619, 
410, 355, 34258, 33519, 203, 791, 
357, 335, 33810, 33498, 347, 485, 
453, 408, 34146, 33526, 490, 1407, 
291, 355, 33170, 33567, 633, 581, 
325, 385, 33378, 33532, 777, -501, 
452, 353, 33890, 33567, 920, 85, 
426, 400, 33634, 33574, 40, -983, 
328, 318, 33330, 33546, 183, -391, 
262, 287, 33250, 33608, 327, 341, 
392, 308, 34034, 33540, 470, 1820, 
268, 321, 33218, 33512, 613, -869, 
296, 273, 33442, 33567, 757, -738, 
317, 287, 33634, 33560, 900, -623, 
302, 349, 33458, 33574, 19, -1014, 
267, 243, 33378, 33580, 163, 211, 
424, 275, 34162, 33594, 306, 1149, 
356, 349, 33650, 33526, 449, -341, 
274, 337, 32994, 33601, 592, -929, 
364, 324, 33618, 33587, 736, -59, 
367, 360, 33666, 33567, 879, 73, 
482, 417, 34130, 33532, 1023, 1240, 
334, 357, 33426, 33580, 142, 1383, 
285, 352, 33442, 33574, 286, 1052, 
292, 278, 33474, 33540, 429, -312, 
282, 383, 33330, 33608, 572, -595, 
291, 263, 33442, 33574, 716, -399, 
292, 332, 33602, 33532, 859, 565, 
244, 334, 33298, 33574, 1002, 368, 
215, 266, 32962, 33567, 122, -831, 
343, 303, 33746, 33553, 265, -199, 
323, 341, 33522, 33580, 408, -797, 
457, 411, 33938, 33519, 551, -627, 
357, 341, 33538, 33553, 695, -215, 
342, 354, 33506, 33560, 838, 53, 
335, 361, 33282, 33587, 982, -413, 
234, 320, 32594, 33546, 101, -2438, 
401, 325, 33858, 33580, 245, 794, 
291, 346, 33586, 33560, 388, 1319, 
369, 345, 33890, 33505, 531, 46, 
344, 283, 33730, 33560, 675, 895, 
288, 257, 33490, 33532, 818, -121, 
279, 313, 33522, 33532, 961, 48, 
275, 279, 33234, 33594, 81, -928, 
337, 282, 33730, 33553, 224, 61, 
288, 325, 33426, 33560, 367, -401, 
440, 392, 34050, 33540, 510, 480, 
346, 286, 33426, 33540, 654, -323, 
421, 358, 33906, 33519, 797, 292, 
329, 431, 33410, 33532, 941, -404, 
433, 439, 33762, 33546, 60, -10, 
284, 355, 33314, 33526, 204, -279, 
278, 253, 33426, 33580, 347, 265, 
338, 320, 33874, 33560, 491, 848, 
361, 216, 33698, 33574, 634, 335, 
240, 260, 33266, 33540, 777, -1195, 
245, 293, 33330, 33546, 920, 54, 
321, 388, 33666, 33540, 40, -179, 
287, 239, 33458, 33553, 183, -261, 
376, 330, 33970, 33567, 326, 802, 
397, 271, 33634, 33553, 470, -1003, 
323, 415, 33314, 33540, 613, -281, 
434, 375, 33986, 33546, 756, 1126, 
409, 499, 34002, 33505, 900, 1482, 
435, 439, 33810, 33546, 19, -546, 
387, 347, 33666, 33546, 163, 477, 
296, 270, 33314, 33580, 306, -1082, 
271, 288, 33330, 33540, 450, -985, 
360, 367, 33682, 33512, 593, -1012, 
289, 328, 33538, 33580, 736, 121, 
334, 325, 33794, 33540, 879, 1020, 
292, 305, 33442, 33615, 1023, 197, 
308, 230, 33474, 33574, 142, 584, 
357, 311, 33778, 33532, 285, -423, 
431, 400, 34178, 33560, 429, 1319, 
275, 381, 32994, 33567, 572, -1547, 
364, 412, 33714, 33540, 715, -99, 
396, 394, 33826, 33546, 859, 1319, 
439, 378, 33826, 33553, 1002, 330, 
342, 436, 33458, 33498, 122, 1185, 
308, 282, 33346, 33546, 265, -1175, 
306, 290, 33538, 33546, 409, -532, 
349, 298, 33634, 33580, 552, -300, 
298, 265, 33490, 33553, 695, -171, 
279, 262, 33458, 33560, 838, 294, 
301, 276, 33522, 33567, 982, -52, 
262, 226, 33090, 33574, 101, -1407, 
331, 266, 33698, 33594, 244, -316, 
334, 330, 33666, 33587, 388, 984, 
422, 420, 33906, 33546, 531, 552, 
367, 334, 33730, 33560, 674, 1560, 
414, 332, 33858, 33540, 818, 1099, 
364, 330, 33394, 33512, 961, -1561, 
404, 382, 33506, 33574, 81, -871, 
330, 273, 33506, 33574, 224, 395, 
315, 320, 33714, 33519, 368, 592, 
332, 327, 33762, 33560, 511, 496, 
308, 338, 33682, 33526, 654, 1334, 
309, 281, 33618, 33512, 798, 109, 
307, 270, 33586, 33567, 941, -639, 
314, 342, 33442, 33567, 60, -1562, 
333, 253, 33666, 33574, 203, -20, 
292, 355, 33554, 33594, 347, 733, 
343, 407, 33634, 33567, 490, 861, 
276, 347, 33090, 33546, 633, -148, 
